# L1 = 1.5, c = 1, a = 1, mu_eta = 1, mu_delta = 1, xi_inf = 0.01, has_dp = 1
LAMBDA, N, RD_ETA, RD_DELTA, (SIG_ETA / M_ETA), (SIG_DELTA / M_DELTA), DELTA_NEFF_CMB, DELTA_NEFF_BBN
1.2045e-07, 77, 7.93323e-07, 1.51062e-97, 11296.6, 3.00144e+26, 7.52686e-05, 0.000455105
1.2045e-07, 78, 8.33385e-07, 8.0688e-99, 10522.7, 3.16043e+26, 7.78742e-05, 0.000508872
1.2045e-07, 79, 8.78452e-07, 4.30602e-100, 9810.63, 3.32564e+26, 8.05355e-05, 0.000497248
nan, nan, nan, nan, nan, nan, nan, nan
nan, nan, nan, nan, nan, nan, nan, nan
1.2045e-07, 82, 1.00976e-06, 6.51117e-104, 7992.27, 3.86031e+26, 8.88579e-05, 0.000604112
1.2045e-07, 83, 1.05588e-06, 3.46319e-105, 7476.82, 4.05209e+26, 9.17464e-05, 0.000589714
1.2045e-07, 84, 1.10422e-06, 1.84058e-106, 7000.2, 4.25093e+26, 9.46929e-05, 0.000656159
1.2045e-07, 85, 1.15464e-06, 9.77458e-108, 6559.07, 4.457e+26, 9.76979e-05, 0.000640234
1.2045e-07, 86, 1.20676e-06, 5.18701e-109, 6150.43, 4.67047e+26, 0.000100762, 0.000711293
1.2045e-07, 87, 1.26051e-06, 2.75055e-110, 5771.53, 4.89152e+26, 0.000103885, 0.000693743
1.2045e-07, 88, 1.31579e-06, 1.4575e-111, 5419.91, 5.12033e+26, 0.000107068, 0.000769616
1.2045e-07, 89, 1.37293e-06, 7.71787e-113, 5093.33, 5.35707e+26, 0.000110311, 0.000750342
1.2045e-07, 90, 1.43242e-06, 4.08402e-114, 4789.76, 5.60192e+26, 0.000113615, 0.000831233
1.2045e-07, 91, 1.49262e-06, 2.15968e-115, 4507.33, 5.85508e+26, 0.00011698, 0.000810133
1.2045e-07, 92, 1.56127e-06, 1.14132e-116, 4244.38, 6.11672e+26, 0.000120407, 0.000896247
1.2045e-07, 93, 1.62221e-06, 6.0276e-118, 3999.37, 6.38703e+26, 0.000123896, 0.000873215
1.2045e-07, 94, 1.69148e-06, 3.18135e-119, 3770.9, 6.6662e+26, 0.000127447, 0.000964763
1.2045e-07, 95, 1.75622e-06, 1.67808e-120, 3557.69, 6.95443e+26, 0.000131061, 0.000939693
1.2045e-07, 96, 1.82448e-06, 8.8461e-122, 3358.58, 7.2519e+26, 0.000134739, 0.00103689
1.2045e-07, 97, 1.89576e-06, 4.66054e-123, 3172.52, 7.55882e+26, 0.00013848, 0.00100967
1.2045e-07, 98, 1.96891e-06, 2.45398e-124, 2998.51, 7.87538e+26, 0.000142286, 0.00111273
1.2045e-07, 99, 2.04308e-06, 1.2914e-125, 2835.67, 8.20178e+26, 0.000146156, 0.00108325
1.2045e-07, 100, 2.12452e-06, 6.79219e-127, 2683.17, 8.53822e+26, 0.000150092, 0.00119239
1.2045e-07, 101, 2.19976e-06, 3.57045e-128, 2540.28, 8.8849e+26, 0.000154093, 0.00116053
1.2045e-07, 102, 2.2814e-06, 1.87588e-129, 2406.29, 9.24204e+26, 0.00015816, 0.00127598
1.2045e-07, 103, 2.36719e-06, 9.8506e-131, 2280.58, 9.60984e+26, 0.000162294, 0.00124163
1.2045e-07, 104, 2.45093e-06, 5.17008e-132, 2162.55, 9.98851e+26, 0.000166494, 0.0013636
1.2045e-07, 105, 2.53886e-06, 2.71215e-133, 2051.67, 1.03783e+27, 0.000170762, 0.00132664
1.45083e-07, 5, 1.33843e-11, 3.18927e+11, 3.18782e+10, 3.05368e+21, 7.27884e-08, 5.65477e-08
1.45083e-07, 6, 2.89e-11, 1.16345e+09, 1.16949e+10, 6.3321e+21, 1.12206e-07, 1.05579e-07
1.45083e-07, 7, 5.52956e-11, 4.02216e+06, 5.00944e+09, 1.1731e+22, 1.62581e-07, 1.54009e-07
1.45083e-07, 8, 9.69518e-11, 13350.7, 2.40344e+09, 2.00126e+22, 2.24945e-07, 2.51793e-07
1.45083e-07, 9, 1.59295e-10, 42.9176, 1.25746e+09, 3.20563e+22, 3.0029e-07, 3.32623e-07
1.45083e-07, 10, 2.48094e-10, 0.134443, 7.04416e+08, 4.88588e+22, 3.89572e-07, 5.03522e-07
1.45083e-07, 11, 3.70227e-10, 0.000412306, 4.17032e+08, 7.15342e+22, 4.93714e-07, 6.24914e-07
nan, nan, nan, nan, nan, nan, nan, nan
1.45083e-07, 13, 7.4649e-10, 3.4936e-09, 1.66395e+08, 1.39546e+23, 7.50139e-07, 1.06651e-06
1.45083e-07, 14, 1.01678e-09, 1.01596e-11, 1.10694e+08, 1.87696e+23, 9.04142e-07, 1.47335e-06
1.45083e-07, 15, 1.35678e-09, 2.92163e-14, 7.57404e+07, 2.47348e+23, 1.07645e-06, 1.69613e-06
1.45083e-07, 16, 1.77734e-09, 8.32152e-17, 5.31092e+07, 3.20201e+23, 1.26788e-06, 2.27417e-06
1.45083e-07, 17, 2.28825e-09, 2.3508e-19, 3.80505e+07, 4.08074e+23, 1.47921e-06, 2.55533e-06
1.45083e-07, 18, 2.90014e-09, 6.6411e-22, 2.77863e+07, 5.129e+23, 1.71124e-06, 3.34553e-06
1.45083e-07, 19, 3.63341e-09, 2.18965e-24, 2.06388e+07, 6.36733e+23, 1.96472e-06, 3.68832e-06
1.45083e-07, 20, 4.49121e-09, 2.8304e-26, 1.55656e+07, 7.81741e+23, 2.2404e-06, 4.73559e-06
1.45083e-07, 21, 5.4952e-09, 1.51286e-27, 1.19021e+07, 9.50211e+23, 2.53903e-06, 5.14172e-06
1.45083e-07, 22, 6.66532e-09, 9.56415e-29, 9.21521e+06, 1.14455e+24, 2.86132e-06, 6.49486e-06
